"","paper_id","sample_country","clean_name","author","title","year","journal","volume","issue","pages","notes"
"1483",292,"China","Sophora alopecuroides","Zhao et al","Diverse rhizobia associated with Sophora alopecuroides grown in different regions of Loess Plateau in China",2010,"Systematic and Applied Microbiology",33,"","468-477",""
"1488",293,"Tunisia","Medicago intertexta","Zribi et al","Medicago ciliaris growing in Tunisian soils is preferentially nodulated by Sinorhizobium medicae",2007,"Australian Journal of Soil Research",42,"","473-477",""
"1490",294,"Tunisia","Medicago truncatula","Zribi et al","Distribution and genetic diversity of rhizobia nodulating natural populations of Medicago truncatula in tunisian soils",2004,"Soil Biology and Biochemistry",36,"","903-908",""
"1492",295,"Senegal","Aeschynomene afraspera","Willems et al","AFLP fingerprint analysis of Bradyrhizobium strains isolated from Faidherbia albida and Aeschynomene species",2000,"Systematic and Applied Microbiology",23,"","137-147",""
"1493",295,"Senegal","Aeschynomene americana","Willems et al","AFLP fingerprint analysis of Bradyrhizobium strains isolated from Faidherbia albida and Aeschynomene species",2000,"Systematic and Applied Microbiology",23,"","137-147",""
"1494",295,"Senegal","Aeschynomene elaphroxylon","Willems et al","AFLP fingerprint analysis of Bradyrhizobium strains isolated from Faidherbia albida and Aeschynomene species",2000,"Systematic and Applied Microbiology",23,"","137-147",""
"1495",295,"Senegal","Aeschynomene indica","Willems et al","AFLP fingerprint analysis of Bradyrhizobium strains isolated from Faidherbia albida and Aeschynomene species",2000,"Systematic and Applied Microbiology",23,"","137-147",""
"1496",295,"Senegal","Aeschynomene sensitiva","Willems et al","AFLP fingerprint analysis of Bradyrhizobium strains isolated from Faidherbia albida and Aeschynomene species",2000,"Systematic and Applied Microbiology",23,"","137-147",""
"1497",296,"China","Astragalus adsurgens","Zhao et al","Diverse genomic species and evidences of symbiotic gene lateral transfer detected among the rhizobia associated with Astragalus species grown in the temperate regions of China",2008,"FEMS microbiology Letters",286,"","263-273",""
"1505",296,"China","Astragalus dahuricus","Zhao et al","Diverse genomic species and evidences of symbiotic gene lateral transfer detected among the rhizobia associated with Astragalus species grown in the temperate regions of China",2008,"FEMS microbiology Letters",286,"","263-273",""
"1513",296,"China","Astragalus melilotoides","Zhao et al","Diverse genomic species and evidences of symbiotic gene lateral transfer detected among the rhizobia associated with Astragalus species grown in the temperate regions of China",2008,"FEMS microbiology Letters",286,"","263-273",""
"1521",296,"China","Astragalus propinquus","Zhao et al","Diverse genomic species and evidences of symbiotic gene lateral transfer detected among the rhizobia associated with Astragalus species grown in the temperate regions of China",2008,"FEMS microbiology Letters",286,"","263-273",""
"1529",296,"China","Astragalus scaberrimus","Zhao et al","Diverse genomic species and evidences of symbiotic gene lateral transfer detected among the rhizobia associated with Astragalus species grown in the temperate regions of China",2008,"FEMS microbiology Letters",286,"","263-273",""
"1537",297,"China","Caragana arborescens","Yan et al","Mesorhizobium spp. Are the main microsymbionts of Caragana spp. Grown in Liaoning province of China",2007,"FEMS microbiology Letters",271,"","265-273",""
"1540",297,"China","Caragana korshinskii","Yan et al","Mesorhizobium spp. Are the main microsymbionts of Caragana spp. Grown in Liaoning province of China",2007,"FEMS microbiology Letters",271,"","265-273",""
"1544",297,"China","Caragana microphylla","Yan et al","Mesorhizobium spp. Are the main microsymbionts of Caragana spp. Grown in Liaoning province of China",2007,"FEMS microbiology Letters",271,"","265-273",""
"1548",297,"China","Caragana sinica","Yan et al","Mesorhizobium spp. Are the main microsymbionts of Caragana spp. Grown in Liaoning province of China",2007,"FEMS microbiology Letters",271,"","265-273",""
"1552",298,"China","Lespedeza inschanica","Yao et al","Characterization of rhizobia that nodulate legume species of the genus Lespedeza and description of Bradyrhizobium yuanmingense sp. Nov.",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2219-2230",""
"1554",298,"China","Lespedeza bicolor","Yao et al","Characterization of rhizobia that nodulate legume species of the genus Lespedeza and description of Bradyrhizobium yuanmingense sp. Nov.",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2219-2230",""
"1556",298,"China","Lespedeza juncea","Yao et al","Characterization of rhizobia that nodulate legume species of the genus Lespedeza and description of Bradyrhizobium yuanmingense sp. Nov.",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2219-2230",""
"1558",298,"China","Lespedeza davurica","Yao et al","Characterization of rhizobia that nodulate legume species of the genus Lespedeza and description of Bradyrhizobium yuanmingense sp. Nov.",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2219-2230",""
"1560",298,"United_States","Kummerowia striata","Yao et al","Characterization of rhizobia that nodulate legume species of the genus Lespedeza and description of Bradyrhizobium yuanmingense sp. Nov.",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2219-2230",""
"1562",299,"Puerto_Rico","Piptadenia flava","Zurdo-Pineiro","Identification of fast-growing rhizobia nodulating tropical legumes from Puerto Rico as Rhizobium gallicum and Rhizobium tropici",2004,"Systematic and Applied Microbiology",27,"","469-477",""
"1563",299,"Puerto_Rico","Sesbania sesban","Zurdo-Pineiro","Identification of fast-growing rhizobia nodulating tropical legumes from Puerto Rico as Rhizobium gallicum and Rhizobium tropici",2004,"Systematic and Applied Microbiology",27,"","469-477",""
"1564",300,"Tunisia","Anthyllis henoniana","Zakhia et al","Characterisation of Wild Legume Nodulating Bacteria in the Infra-arid zone of Tunisia",2004,"Systematic and Applied Microbiology",27,"","380-395",""
"1567",300,"Tunisia","Argyrolobium uniflorum","Zakhia et al","Characterisation of Wild Legume Nodulating Bacteria in the Infra-arid zone of Tunisia",2004,"Systematic and Applied Microbiology",27,"","380-395",""
"1570",300,"Tunisia","Lotus creticus","Zakhia et al","Characterisation of Wild Legume Nodulating Bacteria in the Infra-arid zone of Tunisia",2004,"Systematic and Applied Microbiology",27,"","380-395",""
"1572",300,"Tunisia","Medicago marina","Zakhia et al","Characterisation of Wild Legume Nodulating Bacteria in the Infra-arid zone of Tunisia",2004,"Systematic and Applied Microbiology",27,"","380-395",""
"1574",301,"Tunisia","Retama raetam","Zakhia et al","Diverse bacteria associated with root nodules of spontaneous legumes in Tunisia and first report for nifH-like gene within the genera Microbacterium and Starkeya",2006,"Microbial Ecology",51,"","375-393",""
"1577",301,"Tunisia","Argyrolobium uniflorum","Zakhia et al","Diverse bacteria associated with root nodules of spontaneous legumes in Tunisia and first report for nifH-like gene within the genera Microbacterium and Starkeya",2006,"Microbial Ecology",51,"","375-393",""
"1579",301,"Tunisia","Astragalus algerianus","Zakhia et al","Diverse bacteria associated with root nodules of spontaneous legumes in Tunisia and first report for nifH-like gene within the genera Microbacterium and Starkeya",2006,"Microbial Ecology",51,"","375-393",""
"1581",301,"Tunisia","Lotus argenteus","Zakhia et al","Diverse bacteria associated with root nodules of spontaneous legumes in Tunisia and first report for nifH-like gene within the genera Microbacterium and Starkeya",2006,"Microbial Ecology",51,"","375-393",""
"1582",301,"Tunisia","Ononis natrix","Zakhia et al","Diverse bacteria associated with root nodules of spontaneous legumes in Tunisia and first report for nifH-like gene within the genera Microbacterium and Starkeya",2006,"Microbial Ecology",51,"","375-393",""
"1585",305,"New_Zealand","Dipogon lignosus","Liu et al","Burkholderia sp. Induces functional nodules on the south african invasive legume Dipogon lignosus (Phaseoleae) in New Zealand Soils",2014,"Microbial Ecology ",68,"","542-555",""
"1586",322,"India","Leucaena leucocephala","Chouhan et al","Evolution of novel strains of Ensifer nodulating the
invasive legume Leucaena leucocephala (Lam.) de Wit
in different climatic regions of India through lateral
gene transfer",2022,"FEMS Microbial Ecology",98,"","19-Jan","this might be considered an agricultural species - used for fuel, fiber, wood, and food; 222 strains cultured, but only 114 genetically fingerprinted"
"1588",323,"Canada","Medicago lupulina","Harrison et al","Geographically structured genetic variation in the Medicago lupulina–Ensifer mutualism",2017,"Evolution",71,"7","1787-1801",""
"1589",324,"Tunisia","Acacia saligna","Hsouna et al","Genotypic and symbiotic diversity studies of rhizobia nodulating Acacia
saligna in Tunisia reveal two novel symbiovars within the Rhizobium
leguminosarum complex and Bradyrhizobium",2022,"Systematic and Applied Microbiology",45,"","126343",""
"1590",325,"Taiwan","Crotalaria trichotoma","Huang","Phylogenetic analyses of Bradyrhizobium symbionts associated withinvasive Crotalaria zanzibarica and its coexisting legumes in Taiwan",2018,"Systematic and Applied Microbiology",41,"","619-628",""
"1591",327,"China","Sesbania cannabina","Li et al","Genetic diversity and community structure of rhizobia nodulatingSesbania cannabina in saline–alkaline soils",2016,"Systematic and Applied Microbiology",39,"","195-202",""
"1592",329,"China","Mimosa pudica","Lui et al","Diversity and Geographic
Distribution of Microsymbionts
Associated With Invasive Mimosa
Species in Southern China",2020,"Frontiers in Microbiology",11,"","563389",""
"1593",329,"China","Mimosa diplotricha","Lui et al","Diversity and Geographic
Distribution of Microsymbionts
Associated With Invasive Mimosa
Species in Southern China",2020,"Frontiers in Microbiology",11,"","563389",""
